Sticker,Revenue,Cost of Revenue,R&D Expenses,SG&A Expense,Operating Expenses,Interest Expense,Income Tax Expense,Preferred Dividends,EPS,Weighted Average Shs Out,Dividend per Share,Cash and cash equivalents,Short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,priceEarningsRatio,dividendYield,pretaxProfitMargin,netProfitMargin,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,inventoryTurnover,assetTurnover,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,daysOfPayablesOutstanding,debtRatio,debtEquityRatio,longtermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Enterprise Value,PE ratio,Price to Sales Ratio,Earnings Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,ROIC,Return on Tangible Assets,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Inventory Turnover,ROE,Capex per Share,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,Dividends per Share Growth,Operating Cash Flow growth,Free Cash Flow growth,3Y Revenue Growth (per Share),3Y Operating CF Growth (per Share),3Y Net Income Growth (per Share),3Y Shareholders Equity Growth (per Share),3Y Dividend per Share Growth (per Share),Receivables growth,Inventory Growth,Asset Growth,Book Value per Share Growth,Debt Growth,R&D Expense Growth,SG&A Expenses Growth,Sector,2019 PRICE VAR
MSCI,1433984000,287335000,81411000,292805000,459751000,133114000,122011000,0,5.83,88032852,1.92,904176000,0,473433000,0,1435089000,90877000,1826564000,0,1952863000,3387952000,3892000,0,809008000,2575502000,2575502000,537977000,98261000,0,2745438000,3554446000,-58399000,1856951000,-166494000,0,1671326000,57480000,805116000,85535000,38897000,612762000,-48951000,83825000,0,34874000,500000000,-949283000,-170938000,-626483000,-6479000,14674000,563811000,25.2882,0.013378747,0.479013713,0.354177592,0.7084,-3.0505,0.2563,0,0.423259834,1.774,1.702837302,1.117635425,0,120.5056,0.9907,0.7602,-15.469,1.069113096,1.069113096,5.732,7.0288,6.467,10.3715,0.329,0.427314391,16.4487,5.8258,7.0288,6.467,10.3715,-1.91,17.91,-1.9098,29.5427,14650009370,25.2882,9.0508,0.0395,-15.469,0.7602,1.9696,1.774,5.732,1.2065,0.013,0.329,0.2042,0.0568,0.5391,0.0799,0.0341,-0.5723,0.0271,0.2563,0.7084,626081000,1561388000,-2119357000,2423706000,400515000,2752000,0,120.5056,0.9907,0,3.5804,0,-3.0505,-0.5615,0.1461,0.3088,0.1848,0.6708,0.7351,0.4545,0.5161,0.5867,0.1863,0.3366,0.4166,0,0.3389,0.4452,0,0.0343,-1.4303,0.2394,0.0733,0.1054,Financial Services,77.78488073
KO,31856000000,11770000000,0,10307000000,11386000000,919000000,1623000000,0,1.51,4256513898,1.56,11102000000,5013000000,3685000000,3071000000,24930000000,9598000000,21587000000,20279000000,58286000000,83216000000,9533000000,18838000000,28782000000,25376000000,44214000000,0,2765000000,0,35376000000,64158000000,-12814000000,63234000000,16981000000,25292000000,28099000000,2059000000,411000000,1086000000,225000000,7320000000,-1102000000,322000000,7188000000,6348000000,-3229000000,-436000000,-6644000000,-10552000000,-262000000,2945000000,6218000000,31.3576,0.033233574,0.273103968,0.201971371,1.1197,0.3789,0.0987,11.1268,0.382810998,0.866,0.687929956,0.385727191,-95.2349,42.222,109.2273,0.5313,2.6037,0.599098142,0.722510009,9.7671,1.7187,1.46,2.6067,1.033,0.229784028,7.4797,1.5107,1.7187,1.46,2.6067,3.987,14.47,3.9871,10.3813,2.29645E+11,31.3576,6.3268,0.0319,2.6037,0.5313,2.7926,0.866,9.7671,1.1377,0.0329,1.033,0.3235,0,0.2594,0.1505,0.0346,-1.0147,0.0071,0.0987,1.1197,-3852000000,61629000000,-39228000000,65959000000,3676000000,9140500000,2863000000,42.222,109.2273,-95.2349,8.6659,11.1268,0.3789,-0.2587,-0.0934,0.1735,0.1449,4.1554,4.1536,0.0541,0.0563,0.1603,-0.0976,-0.1077,-0.0365,-0.1211,0.0573,0.0049,0.1567,-0.0532,-0.0023,-0.0728,0,-0.1855,Consumer Defensive,21.67873852
COP,38727000000,20555000000,369000000,401000000,7128000000,735000000,3668000000,0,5.36,1151241888,1.16,5915000000,1710000000,4067000000,1007000000,13274000000,45698000000,0,9664000000,56706000000,69980000000,3895000000,112000000,7395000000,14856000000,14968000000,0,6341000000,0,30521000000,37916000000,-6063000000,34010000000,31939000000,11374000000,7343000000,575000000,3388000000,5956000000,0,12934000000,-6750000000,119000000,1620000000,-3843000000,-4995000000,-2878000000,-1363000000,-9359000000,-117000000,-385000000,6184000000,11.6325,0.018919078,0.285175717,0.161566865,0.1213,0.1959,0.1256,37.4717,0.553400972,1.795,1.581068289,0.799864773,-17.8815,38.3313,36.7102,0.2139,0.4686,0.317469815,0.319099495,14.5034,11.0879,5.301,5.0707,0.216,0.333978878,33.1993,5.3639,11.0879,5.301,5.0707,27.38,59.991,27.3802,12.8316,79122931717,11.6325,1.8535,0.086,0.4686,0.2139,0.4419,1.795,14.5034,2.0671,0.0186,0.216,0.0104,0.0095,0,0.5219,0.1743,-1.1333,0,0.1256,0.1213,5879000000,69980000000,-24642000000,71638000000,4193500000,3962500000,1033500000,38.3313,36.7102,-17.8815,9.235,37.4717,0.1959,-5.7865,0.2853,7.7511,10.8607,8.3181,8.6571,0.0943,0.8276,1.4875,0.1005,0.2206,0,-0.0508,-0.2666,-0.0586,-0.05,-0.0461,0.0923,-0.2403,-0.6049,-0.0609,Energy,4.896407928
CHK,10231000000,7219000000,0,280000000,2130000000,487000000,-10000000,98000000,0.85,913710098,0,4000000,0,1247000000,0,1598000000,10818000000,0,76000000,11137000000,12735000000,763000000,381000000,2887000000,7341000000,7722000000,0,0,0,7715000000,10602000000,-23000000,-13912000000,2092000000,76000000,7718000000,347000000,1743000000,1145000000,32000000,2000000000,111000000,0,74000000,185000000,-1939000000,0,0,-2186000000,0,-1000000,2111000000,2.4706,0,0.086208582,0.085328902,0.0916,0.4173,0.0541,0,0.803376521,0.554,0.433321787,0.001385521,0,44.4878,27.2207,0.6064,3.6912,0.778225379,0.786835133,2.7721,2.2002,2.322,0.0044,0,0.195484312,11.2552,0.9604,2.2002,2.322,0.0044,2.301,14.01,2.3014,8.495,9636791206,2.4706,0.1875,0.4048,3.6912,0.6064,3.0934,0.554,2.7721,2.5806,0,0,0.0274,0,0,0,-0.0108,0.0969,0.0031,0.0541,0.0916,-1289000000,12735000000,-9004000000,17566000000,1284500000,708500000,0,44.4878,27.2207,0,7.965,0,0.4173,0.1221,0.085,-0.0196,-0.2256,-0.0467,-0.0556,0,1.6846,5.7652,-0.1643,0.0568,0,-0.1068,-1,-0.0567,0,0.0249,5.2066,-0.2257,0,0.0687,Energy,-62.10045837
DIS,59434000000,32726000000,0,8860000000,11904000000,574000000,1663000000,0,8.4,1487242596,1.68,4150000000,0,9334000000,1392000000,16825000000,29540000000,38081000000,2899000000,81773000000,98598000000,9479000000,3790000000,17860000000,17084000000,20874000000,4591000000,3109000000,0,27906000000,45766000000,-3097000000,82679000000,48773000000,2899000000,16724000000,1949000000,4591000000,3011000000,393000000,14295000000,-4465000000,-1581000000,0,-5336000000,-2583000000,-3367000000,-2515000000,-8843000000,-25000000,91000000,9830000000,13.8381,0.014545761,0.249083016,0.211966215,0.442,0.2583,0.1212,42.9902,0.602791132,0.942,0.754983203,0.232362822,-15.5253,57.3226,58.2131,0.2117,0.428,0.259410541,0.299711402,25.8449,9.5364,5.561,2.7685,0.2,0.240518895,39.6491,8.4043,9.5364,5.561,2.7685,32.537,40.372,32.537,13.9253,1.89601E+11,13.8381,2.9087,0.0723,0.428,0.2117,0.9371,0.942,25.8449,1.1347,0.0145,0.2,0.1491,0,0.3862,0.3123,0.0751,-1.4829,0.0066,0.1212,0.442,-1035000000,60517000000,-28941000000,59381000000,8983500000,9167000000,1382500000,57.3226,58.2131,-15.5253,6.6159,42.9902,0.2583,-2.9787,0.0756,0.076,0.0747,0.4029,0.466,0.0769,0.1581,0.1273,0.0858,0.1237,0.1931,0.0737,-0.0245,0.0812,0.0138,0.0293,0.2348,-0.1746,0,0.0837,Consumer Cyclical,34.34665181
CVX,1.66339E+11,1.19989E+11,1210000000,3838000000,25027000000,748000000,5715000000,0,7.81,1910774369,4.48,10292000000,53000000,16992000000,5704000000,34021000000,1.69207E+11,4518000000,35546000000,2.19842E+11,2.53863E+11,13953000000,5726000000,27171000000,28733000000,34459000000,0,18486000000,0,71050000000,98221000000,-3544000000,1.80987E+11,1.54554E+11,35599000000,24114000000,980000000,7492000000,19419000000,0,30618000000,-11400000000,111000000,-1001000000,-12290000000,-4502000000,-604000000,-8502000000,-13699000000,-91000000,4538000000,19218000000,13.9296,0.041717538,0.128190022,0.089119208,0.0842,0.0959,0.0603,29.4692,0.655231365,1.252,1.006109455,0.378786206,-17.3513,37.2858,30.6173,0.1357,0.223,0.156765073,0.182310211,28.4586,16.0239,10.058,5.3863,0.574,0.184069881,87.0532,7.7581,16.0239,10.058,5.3863,80.886,130.494,80.8855,18.034,2.31987E+11,13.9296,1.2497,0.0718,0.223,0.1357,0.5924,1.252,28.4586,2.0654,0.0412,0.574,0.0231,0.0073,0.0178,0.3723,0.0685,-0.5871,0,0.0603,0.0842,6850000000,2.49345E+11,-64200000000,2.46341E+11,17597000000,14259000000,5644500000,37.2858,30.6173,-17.3513,9.4527,29.4692,0.0959,-5.9662,0.3435,1.2516,1.2379,0.6122,0.6004,0.037,0.5055,0.5975,0.0577,0.1573,0.471,-0.0011,0.0153,-0.0665,0.0213,0.0002,0.0372,-0.111,0.4005,-0.0662,Energy,13.29498422
PYPL,15451000000,8337000000,1071000000,2764000000,4920000000,0,319000000,0,1.74,1178359088,0,7575000000,4066000000,20375000000,0,32963000000,1724000000,7109000000,971000000,10369000000,43332000000,21843000000,1998000000,25904000000,0,1998000000,0,2103000000,0,2042000000,27946000000,78000000,5880000000,15386000000,5037000000,-9643000000,947000000,2063000000,776000000,853000000,5483000000,-820000000,-2124000000,2638000000,840000000,960000000,-3376000000,0,-1262000000,-113000000,4948000000,4663000000,48.3276,0,0.141997282,0.133130542,0.2342,0.1337,0.1761,0,0.35657251,1.273,1.235948116,0.29242588,0,481.32,515.9986,0.0461,0.1299,0,0.114933272,0,4.6309,3.938,6.3978,0,0.354863763,13.0498,1.7373,4.6309,3.938,6.3978,12.995,30.594,12.9949,1.6875,89445215710,48.3276,6.4131,0.0207,0.1299,0.0461,-3.0593,1.273,0,2.6655,0,0,0.1789,0.0693,0.1641,0.1496,0.0531,-1.0567,0.0552,0.1761,0.2342,7059000000,36223000000,5017000000,4742000000,19450000000,20921000000,0,481.32,515.9986,0,0.7944,0,0.1337,-0.6926,0.1292,0.08,0.0315,0.146,0.1678,0,1.1663,1.5016,0.1992,0.305,0.2002,0.0489,0,0.0999,0,0.0627,-0.0226,0.998,0.1238,0.2107,Financial Services,26.14577046
WMT,5.00343E+11,3.73396E+11,0,1.0651E+11,1.0651E+11,2330000000,4600000000,0,3.29,2962381445,2.04,6756000000,0,5614000000,43783000000,59664000000,1.14818E+11,18242000000,0,1.44858E+11,2.04522E+11,46092000000,9662000000,78521000000,36825000000,46487000000,0,8999000000,0,45179000000,1.237E+11,-10181000000,85107000000,77869000000,0,39731000000,3511000000,22767000000,10529000000,0,28337000000,-9673000000,671000000,0,-9079000000,-4496000000,-8296000000,-6124000000,-19875000000,487000000,-130000000,18664000000,32.4012,0.019847271,0.04084598,0.019710479,0.1028,0.1266,0.1014,11.5248,2.446401854,0.76,0.157537474,0.086040677,-42.7985,4.0954,33.6241,0.2273,0.597,0.321071721,0.373821931,7.2069,9.4614,6.936,2.2558,0.62,0.056635148,167.0594,3.2928,9.4614,6.936,2.2558,26,62.197,25.9997,15.5215,3.55521E+11,32.4012,0.6311,0.0309,0.597,0.2273,1.4542,0.76,7.2069,2.8734,0.0191,0.62,0.2129,0,0.0892,0.3414,0.0193,-0.9187,0,0.1014,0.1028,-18857000000,1.8628E+11,-64036000000,1.4749E+11,5724500000,43762500000,43414500000,4.0954,33.6241,-42.7985,87.4038,11.5248,0.1266,-3.2297,0.0187,-0.2441,-0.1022,-0.2771,-0.2523,0.02,-0.1053,-0.1323,0.0357,0.0228,-0.1338,0.0105,0.0204,-0.0379,0.0171,0.0287,0.0364,0.012,0,0.0457,Consumer Defensive,29.89801695
CLF,2332400000,1522800000,0,116800000,116800000,118900000,-475200000,0,3.8,298018441,0,823200000,91500000,226700000,181100000,1479600000,1286000000,0,0,2050000000,3529600000,186800000,0,468200000,2092900000,2092900000,0,0,0,2637200000,3105400000,-283900000,-3060200000,424200000,91500000,1178200000,157100000,281400000,89000000,0,478500000,-296100000,0,0,-273100000,-236000000,-47500000,0,-375200000,-2300000,-155100000,182400000,2.0237,0,0.297033099,0.483664895,0.491,2.6594,0.2017,11.4249,0.660811423,3.16,2.437847074,1.758222982,-43.4079,35.4765,29.2326,0.593,4.9338,0.831472727,0.831472727,6.4912,1.6102,0.614,2.7701,0,0.20515349,7.8485,3.7961,1.6102,0.614,2.7701,1.427,11.877,1.4274,7.0426,3469961811,2.0237,0.9826,0.4941,4.9338,0.593,1.3687,3.16,6.4912,0.4242,0,0,0.0501,0,0,0.6188,0.127,-3.327,0,0.2017,0.491,1011400000,3529600000,-1625800000,4331100000,166700000,143150000,204150000,35.4765,29.2326,-43.4079,13.9916,11.4249,2.6594,-0.9964,0.7314,2.1972,0.8996,2.0738,1.9688,0,0.4153,-0.0215,-0.1578,0.8673,0,0,0,1.1246,-0.2029,0.1951,1.9266,-0.0917,0,0.1351,Basic Materials,10.28436632
MRK,42294000000,13509000000,9752000000,10102000000,20486000000,0,2508000000,0,2.34,2600376500,1.99,7965000000,899000000,7071000000,5440000000,25875000000,13291000000,29684000000,6233000000,56762000000,82637000000,3318000000,5308000000,22206000000,19806000000,25114000000,0,3673000000,0,33549000000,55755000000,-5545000000,42579000000,26701000000,7132000000,16250000000,4500000000,13580000000,4519000000,348000000,10922000000,-2615000000,-431000000,7258000000,4314000000,837000000,-8500000000,-5172000000,-13160000000,-205000000,1871000000,8307000000,32.6538,0.026206506,0.196221686,0.147065778,0.3667,0.233,0.0915,8.0285,0.51180464,1.165,0.717598847,0.358686841,-146.9835,61.0232,28.6346,0.3039,0.9406,0.425871374,0.484685902,0,4.2002,3.195,3.063,0.85,0.258239939,16.2646,2.392,4.2002,3.195,3.063,10.268,20.364,10.2681,9.6578,2.14945E+11,32.6538,4.6979,0.0306,0.9406,0.3039,1.2267,1.165,0,1.7559,0.026,0.85,0.2389,0.2306,0.3592,0.2394,0.0618,-0.5787,0.0082,0.0915,0.3667,3669000000,52953000000,-29880000000,47896000000,6972000000,3210000000,5268000000,61.0232,28.6346,-146.9835,6.0663,8.0285,0.233,-1.0056,0.0579,0.3434,0.3783,1.5982,1.6591,0.0529,0.6931,0.8205,0.0478,-0.0219,0.1458,-0.1373,0.0321,0.0288,0.0675,-0.0596,-0.1853,0.0288,-0.0568,0.0028,Healthcare,23.59785207
MDLZ,25938000000,15586000000,0,6475000000,7040000000,520000000,773000000,0,2.3,1453835415,0.96,1100000000,0,3006000000,2592000000,7604000000,8482000000,38727000000,7123000000,55125000000,62729000000,5794000000,5840000000,16737000000,12532000000,18372000000,0,3552000000,0,20279000000,37016000000,-10630000000,24491000000,25637000000,7123000000,17272000000,906000000,5103000000,811000000,128000000,3948000000,-697000000,-527000000,0,-1224000000,839000000,-2020000000,-1359000000,-2329000000,-56000000,339000000,3251000000,17.4043,0.02347468,0.127689105,0.130349294,-5.1935,0.1319,0.0409,10.075,0.413492962,0.454,0.24532473,0.06572265,-60.7006,42.3005,81.5333,0.2929,0.7166,0.328329272,0.417460065,8.9885,2.7156,2.236,0.7566,0.417,0.152209114,17.8411,2.3256,2.7156,2.236,0.7566,17.634,16.509,17.634,12.6369,75469031662,17.4043,2.2437,0.0575,0.7166,0.2929,3.149,0.454,8.9885,1.1677,0.024,0.417,0.2496,0,0.6174,0.1765,0.0269,-0.8594,0.0049,0.0409,-5.1935,-9133000000,24002000000,-29412000000,24537000000,3266000000,5749500000,2574500000,42.3005,81.5333,-60.7006,7.9418,10.075,0.1319,-0.4794,0.0317,0.2059,0.011,0.1955,0.2299,0.1707,0.5226,0.9259,-0.0147,0.05,-0.2018,0.0001,0.1447,-0.1475,0.0137,-0.0036,0.0138,0.0408,0,0.0904,Consumer Defensive,40.91671798
MGM,11763096000,6918875000,0,2183842000,3522425000,769513000,50112000,0,0.82,527197958,0.48,1526762000,0,657206000,110831000,2526778000,20729888000,5765855000,732867000,27683928000,30210706000,614371000,183457000,2948882000,15088005000,15271462000,0,1342538000,0,16792033000,19740915000,-8556000,2423479000,6512283000,732867000,13744700000,231979000,2151054000,1178044000,70177000,1722539000,-1461231000,-604582000,0,-2083021000,2163475000,-1283333000,-260592000,389234000,-1985000,26767000,261308000,29.5854,0.019929852,0.112368036,0.03968105,0.023,0.0717,0.0376,110.3879,0.389368458,0.857,0.740608814,0.517742656,-5.8468,20.3926,19.0635,0.5055,2.345,0.698509437,0.701048511,1.6717,3.165,0.48,2.8052,0.585,0.146435853,21.6133,0.8576,3.165,0.48,2.8052,11.966,44.914,11.9655,28.0595,26534522461,29.5854,1.0873,0.0338,2.345,0.5055,5.5772,0.857,1.6717,3.6903,0.0198,0.585,0.1857,0,0.1909,0.8483,0.1242,-1.2404,0.006,0.0376,0.023,-422104000,24444851000,-17214137000,35240669000,599739500,672103000,106561500,20.3926,19.0635,-5.8468,19.6137,110.3879,0.0717,-2.6848,0.0521,-0.1386,-0.1561,-0.7609,-0.7574,0.0909,-0.2193,-0.2383,0.0568,0.1957,0,0.0826,0,0.2119,0.0835,0.036,-0.0963,0.1707,0,0.1395,Consumer Cyclical,34.52956736
NBR,3048121000,1976974000,56147000,265822000,1333285000,227124000,79269000,12305000,-1.99,357794566,0.24,447766000,34036000,756320000,165587000,1593563000,5467870000,183914000,0,6260381000,7853944000,392843000,561000,832077000,3585884000,3586445000,0,27072000,0,3866680000,4698757000,-29325000,650842000,2700850000,34036000,3104643000,189854000,438673000,868509000,26396000,325773000,-458938000,-20859000,3611000,-367088000,-479175000,301404000,-87098000,155629000,-5263000,109051000,-133165000,0,0.13119572,-0.085999867,-0.210276429,-0.1029,-0.2373,-0.0269,18.368,0.388100679,1.915,1.487989693,0.538130486,-30.5716,90.5662,47.0413,0.4566,1.3279,0.570389013,0.570427346,-1.473,0.9742,-0.398,1.339,-0.121,0.106876663,9.1153,-1.9167,0.9742,-0.398,1.339,8.077,22.937,8.0768,10.7251,3820232132,0,0.2348,-0.995,1.3279,0.4566,5.8144,1.915,-1.473,-0.4987,0.12,-0.121,0.0872,0.0184,0.0234,1.4088,0.1506,-0.5284,0.0087,-0.0269,-0.1029,761486000,7670030000,-3105194000,9976632000,727398500,378129500,165947000,90.5662,47.0413,-30.5716,4.1904,18.368,-0.2373,-1.3724,0.264,0.1778,0.2342,-0.1947,-0.0474,0,4.1911,0.7398,-0.1205,-0.3147,0,-0.1889,0,0.0828,-0.0043,-0.0652,-0.2215,-0.1096,0.0994,0.0583,Energy,33.63452258
SRCI,645641000,112256000,0,38618000,259102000,0,37967000,0,1.07,242600829,0,49609000,0,140388000,0,232440000,2518700000,0,0,2522274000,2754714000,247040000,0,353833000,734360000,734360000,0,133066000,0,814589000,1168422000,0,93942000,1586292000,0,684751000,42443000,106793000,179773000,12287000,521143000,-715466000,0,0,-715466000,192136000,0,0,195160000,0,837000,-194323000,4.3925,0,0.424822773,0.402734647,0.1085,0.1639,0.0729,0,0.234376781,0.657,0.536968005,0.14020456,0,79.3655,139.659,0.2666,0.4629,0.316445551,0.316445551,0,2.1507,-0.802,0.2047,0,0.807171478,2.6645,1.0731,2.1507,-0.802,0.2047,6.547,11.369,6.5466,3.0307,1824974896,4.3925,1.766,0.2277,0.4629,0.2666,1.4332,0.657,0,2.0042,0,0,0.0598,0,0,1.3729,1.1081,-3.9798,0.019,0.0729,0.1085,-121393000,2754714000,-935982000,3085632000,122267500,192911500,0,79.3655,139.659,0,5.2806,0,0.1639,-2.9527,0.7573,0.9322,0.7405,0.8249,0.5507,0,0.7889,0.7406,0.264,0.1761,0.7787,0.0267,0,0.348,0,0.3247,0.0317,0.3645,0,0.1715,Energy,-13.44538472
NVDA,9714000000,3892000000,1797000000,815000000,2612000000,61000000,149000000,0,5.09,606000000,0.57,4002000000,3106000000,1265000000,796000000,9255000000,997000000,670000000,0,1986000000,11241000000,596000000,15000000,1153000000,1985000000,2000000000,0,0,0,2617000000,3770000000,-18000000,8787000000,7471000000,3106000000,-5108000000,86000000,542000000,199000000,391000000,3502000000,-591000000,0,1869000000,1278000000,-812000000,-770000000,-341000000,-2544000000,0,2236000000,2911000000,48.4971,0.002317649,0.330450896,0.31367099,0.3349,0.4078,0.6699,12.2189,0.864157993,8.027,7.261925412,3.47094536,-74.6506,47.5319,22.3945,0.1779,0.2677,0.209919628,0.211170943,53.3934,5.8464,2.778,6.6811,0.112,0.360510603,16.217,5.0868,5.8464,2.778,6.6811,12.472,17.648,12.4725,3.3389,1.44483E+11,48.4971,15.3995,0.0206,0.2677,0.1779,-1.478,8.027,53.3934,1.1493,0.0023,0.112,0.0839,0.185,0.0596,0.1688,0.0608,-2.9698,0.0403,0.6699,0.3349,8102000000,10571000000,5485000000,7416000000,1045500000,540500000,795000000,47.5319,22.3945,-74.6506,9.2912,12.2189,0.4078,-0.9866,0.4329,0.6592,0.6598,0.8289,0.6526,0.1753,1.0945,0.9368,0.2412,0.5272,0.6448,0.1594,0.188,0.5315,0.0025,0.1423,0.171,-0.2883,0.2283,0.2293,Technology,73.40989975
JNJ,81581000000,20057000000,10775000000,33315000000,34692000000,1005000000,-2702000000,0,5.7,2662000000,3.54,6016000000,13671000000,14098000000,8599000000,46033000000,17035000000,78064000000,0,1.06921E+11,1.45314E+11,7537000000,2796000000,31230000000,27684000000,30480000000,0,16566000000,0,61972000000,85562000000,-15222000000,1.06216E+11,59752000000,1580000000,10793000000,3649000000,20897000000,6929000000,978000000,22201000000,-3670000000,-899000000,-1337000000,-3167000000,-3949000000,-4919000000,-9494000000,-18510000000,-241000000,283000000,18531000000,22.6404,0.027806488,0.24783957,0.187506895,0.4805,0.256,0.118,9.4873,0.561411839,1.474,1.08181236,0.192635287,-156.4858,63.0756,33.7211,0.1993,0.5101,0.316620156,0.337795904,18.9095,8.2793,6.911,6.7526,0.621,0.272134443,30.4236,5.7046,8.2793,6.911,6.7526,22.283,27.928,22.2831,11.3668,3.66415E+11,22.6404,4.2425,0.0442,0.5101,0.1993,0.4162,1.474,18.9095,1.4513,0.0274,0.621,0.4084,0.1321,0.5104,0.1653,0.045,-0.5297,0.012,0.118,0.4805,14803000000,74890000000,-39529000000,56033000000,14098000000,7537000000,8599000000,63.0756,33.7211,-156.4858,5.7867,9.4873,0.256,-1.3686,0.0019,0.0213,0.0213,0,0,0.0663,0,0.0424,0.0637,0.0545,0.0086,-0.0461,0.0627,0,0,-0.0499,-0.0029,-0.1186,0,0.478,Healthcare,17.40270535
WDC,20647000000,12942000000,2400000000,1473000000,4088000000,676000000,1410000000,0,2.27,299242061,2,5005000000,0,2197000000,2944000000,10638000000,3095000000,12755000000,2105000000,18597000000,29235000000,2524000000,179000000,4456000000,10993000000,11172000000,0,0,0,13248000000,17704000000,-39000000,8757000000,11531000000,2105000000,6167000000,492000000,1753000000,2056000000,377000000,4205000000,-809000000,-824000000,-22000000,-1655000000,-2793000000,-371000000,-593000000,-3900000000,1000000,-1349000000,3396000000,34.1013,0.026664472,0.175182835,0.032692401,0.0728,0.0585,0.1133,7.8134,0.706242518,2.387,1.616247756,1.123204668,-83.0289,38.8388,44.6196,0.3821,0.9689,0.488057183,0.492093556,4.0843,14.1582,10,16.8519,0.881,0.203661549,69.5185,2.2727,14.1582,10,16.8519,38.825,55.488,38.8249,37.6162,29331327942,34.1013,1.1219,0.0293,0.9689,0.3821,1.2803,2.387,4.0843,6.2296,0.0258,0.881,0.0713,0.1162,0.4363,0.1924,0.0392,-0.3935,0.0183,0.1133,0.0728,6182000000,16480000000,-7066000000,18191000000,2072500000,2437000000,2642500000,38.8388,44.6196,-83.0289,9.9624,7.8134,0.0585,-2.7239,0.2689,0.7085,0.8511,0.7003,0.6449,0,0.2235,0.1792,0.0344,0.1358,-0.2887,-0.0077,0.0357,0.1278,0.2576,-0.0209,-0.0207,-0.1505,-0.0168,0.0194,Technology,71.1693017
BSX,9823000000,2813000000,1113000000,3569000000,5504000000,241000000,-249000000,0,1.21,1383800781,0,146000000,0,1608000000,1166000000,4003000000,1782000000,14283000000,0,16996000000,20999000000,349000000,2253000000,5260000000,4803000000,7056000000,0,328000000,0,7013000000,12273000000,33000000,-6953000000,8726000000,0,6910000000,1083000000,2658000000,894000000,140000000,310000000,-302000000,-1448000000,0,-1921000000,1405000000,45000000,0,1432000000,-8000000,-188000000,8000000,29.2066,0,0.153313652,0.170110964,3.1829,0.1915,0.0527,8.7549,0.46778418,0.761,0.333460076,0.027756654,-151.294,59.7496,12.968,0.336,0.8086,0.355015153,0.447091623,6.9004,0.2245,0.006,0.1057,0,0.031558587,7.113,1.21,0.2245,0.006,0.1057,6.319,4.863,6.3186,5.1093,55813519601,29.2066,4.9785,0.0342,0.8086,0.336,2.7024,0.761,6.9004,0.1855,0,0,0.3633,0.1133,0.6802,0.9742,0.0307,-0.3378,0.0143,0.0527,3.1829,-1257000000,6716000000,-8270000000,8366000000,1578000000,439500000,1122000000,59.7496,12.968,-151.294,6.225,8.7549,0.1915,-0.2187,0.086,0.4324,0.172,15.0673,14.125,0,-0.7826,-0.9928,0.0846,-0.2419,0,0.1027,0,0.0388,0.0816,0.1028,0.2347,0.2564,0.1163,0.0835,Healthcare,31.22461527
